Variable = LogStrainRate, Temperature, P
Zone I = 51 J = 21 	
-1.3	643	0.122009
-1.2	643	0.123172
-1.1	643	0.124267
-1	643	0.12529
-0.9	643	0.126237
-0.8	643	0.127106
-0.7	643	0.127893
-0.6	643	0.128598
-0.5	643	0.129219
-0.4	643	0.129754
-0.3	643	0.130202
-0.2	643	0.130564
-0.1	643	0.130841
0	643	0.131031
0.1	643	0.131138
0.2	643	0.131164
0.3	643	0.13111
0.4	643	0.130981
0.5	643	0.130781
0.6	643	0.130516
0.7	643	0.130192
0.8	643	0.129816
0.9	643	0.129399
1	643	0.128951
1.1	643	0.128483
1.2	643	0.128012
1.3	643	0.127554
1.4	643	0.127128
1.5	643	0.126756
1.6	643	0.126462
1.7	643	0.126275
1.8	643	0.126226
1.9	643	0.126346
2	643	0.126672
		
-3	653	0.089826
-2.9	653	0.090155
-2.8	653	0.090834
-2.7	653	0.091787
-2.6	653	0.092952
-2.5	653	0.094281
-2.4	653	0.095734
-2.3	653	0.097279
-2.2	653	0.098891
-2.1	653	0.100548
-2	653	0.102234
-1.9	653	0.103934
-1.8	653	0.105635
-1.7	653	0.107327
-1.6	653	0.109001
-1.5	653	0.11065
-1.4	653	0.112266
-1.3	653	0.113844
-1.2	653	0.115377
-1.1	653	0.11686
-1	653	0.11829
-0.9	653	0.119661
-0.8	653	0.12097
-0.7	653	0.122214
-0.6	653	0.123388
-0.5	653	0.12449
-0.4	653	0.125518
-0.3	653	0.126469
-0.2	653	0.127341
-0.1	653	0.128133
0	653	0.128844
0.1	653	0.129473
0.2	653	0.13002
0.3	653	0.130486
0.4	653	0.13087
0.5	653	0.131176
0.6	653	0.131406
0.7	653	0.131562
0.8	653	0.13165
0.9	653	0.131674
1	653	0.131642
1.1	653	0.131561
1.2	653	0.13144
1.3	653	0.131291
1.4	653	0.131127
1.5	653	0.130964
1.6	653	0.13082
1.7	653	0.130714
1.8	653	0.130671
1.9	653	0.130717
2	653	0.130881
		
-3	663	0.078495
-2.9	663	0.078811
-2.8	663	0.079477
-2.7	663	0.080422
-2.6	663	0.081586
-2.5	663	0.082925
-2.4	663	0.0844
-2.3	663	0.085981
-2.2	663	0.087646
-2.1	663	0.089372
-2	663	0.091145
-1.9	663	0.092951
-1.8	663	0.094777
-1.7	663	0.096615
-1.6	663	0.098456
-1.5	663	0.100292
-1.4	663	0.102116
-1.3	663	0.103923
-1.2	663	0.105707
-1.1	663	0.107463
-1	663	0.109186
-0.9	663	0.110871
-0.8	663	0.112514
-0.7	663	0.114111
-0.6	663	0.115658
-0.5	663	0.117152
-0.4	663	0.118588
-0.3	663	0.119964
-0.2	663	0.121277
-0.1	663	0.122524
0	663	0.123702
0.1	663	0.124809
0.2	663	0.125843
0.3	663	0.126803
0.4	663	0.127689
0.5	663	0.128499
0.6	663	0.129233
0.7	663	0.129892
0.8	663	0.130479
0.9	663	0.130994
1	663	0.131441
1.1	663	0.131825
1.2	663	0.13215
1.3	663	0.132424
1.4	663	0.132654
1.5	663	0.13285
1.6	663	0.133026
1.7	663	0.133193
1.8	663	0.133369
1.9	663	0.133574
2	663	0.133827
		
-3	673	0.067523
-2.9	673	0.067815
-2.8	673	0.068443
-2.7	673	0.06934
-2.6	673	0.070453
-2.5	673	0.07174
-2.4	673	0.073167
-2.3	673	0.074707
-2.2	673	0.076338
-2.1	673	0.078043
-2	673	0.079806
-1.9	673	0.081616
-1.8	673	0.083462
-1.7	673	0.085335
-1.6	673	0.087228
-1.5	673	0.089135
-1.4	673	0.091049
-1.3	673	0.092964
-1.2	673	0.094877
-1.1	673	0.096782
-1	673	0.098674
-0.9	673	0.10055
-0.8	673	0.102405
-0.7	673	0.104235
-0.6	673	0.106037
-0.5	673	0.107805
-0.4	673	0.109538
-0.3	673	0.11123
-0.2	673	0.112878
-0.1	673	0.11448
0	673	0.116031
0.1	673	0.117529
0.2	673	0.118971
0.3	673	0.120353
0.4	673	0.121675
0.5	673	0.122933
0.6	673	0.124126
0.7	673	0.125253
0.8	673	0.126313
0.9	673	0.127307
1	673	0.128234
1.1	673	0.129095
1.2	673	0.129894
1.3	673	0.130633
1.4	673	0.131316
1.5	673	0.131949
1.6	673	0.132539
1.7	673	0.133094
1.8	673	0.133624
1.9	673	0.134143
2	673	0.134665
		
-3	683	0.057295
-2.9	683	0.057558
-2.8	683	0.05813
-2.7	683	0.058953
-2.6	683	0.059979
-2.5	683	0.061172
-2.4	683	0.062501
-2.3	683	0.063942
-2.2	683	0.065477
-2.1	683	0.06709
-2	683	0.068769
-1.9	683	0.070502
-1.8	683	0.072282
-1.7	683	0.0741
-1.6	683	0.075951
-1.5	683	0.077829
-1.4	683	0.079729
-1.3	683	0.081647
-1.2	683	0.083578
-1.1	683	0.085518
-1	683	0.087464
-0.9	683	0.089412
-0.8	683	0.091359
-0.7	683	0.0933
-0.6	683	0.095233
-0.5	683	0.097153
-0.4	683	0.099058
-0.3	683	0.100944
-0.2	683	0.102807
-0.1	683	0.104643
0	683	0.106451
0.1	683	0.108225
0.2	683	0.109963
0.3	683	0.111661
0.4	683	0.113318
0.5	683	0.114928
0.6	683	0.116491
0.7	683	0.118004
0.8	683	0.119464
0.9	683	0.12087
1	683	0.12222
1.1	683	0.123514
1.2	683	0.124752
1.3	683	0.125934
1.4	683	0.12706
1.5	683	0.128135
1.6	683	0.129159
1.7	683	0.130139
1.8	683	0.131078
1.9	683	0.131985
2	683	0.132869
		
-3	693	0.048049
-2.9	693	0.04828
-2.8	693	0.048788
-2.7	693	0.049522
-2.6	693	0.050441
-2.5	693	0.051513
-2.4	693	0.052713
-2.3	693	0.05402
-2.2	693	0.055418
-2.1	693	0.056894
-2	693	0.058437
-1.9	693	0.060038
-1.8	693	0.061691
-1.7	693	0.063389
-1.6	693	0.065128
-1.5	693	0.066902
-1.4	693	0.068708
-1.3	693	0.070544
-1.2	693	0.072404
-1.1	693	0.074287
-1	693	0.07619
-0.9	693	0.078109
-0.8	693	0.080042
-0.7	693	0.081987
-0.6	693	0.083939
-0.5	693	0.085897
-0.4	693	0.087858
-0.3	693	0.089818
-0.2	693	0.091775
-0.1	693	0.093725
0	693	0.095665
0.1	693	0.097593
0.2	693	0.099505
0.3	693	0.101397
0.4	693	0.103268
0.5	693	0.105114
0.6	693	0.106931
0.7	693	0.108717
0.8	693	0.110469
0.9	693	0.112185
1	693	0.113861
1.1	693	0.115497
1.2	693	0.117091
1.3	693	0.11864
1.4	693	0.120144
1.5	693	0.121604
1.6	693	0.123018
1.7	693	0.124388
1.8	693	0.125716
1.9	693	0.127004
2	693	0.128256
		
-3	703	0.039896
-2.9	703	0.040095
-2.8	703	0.040537
-2.7	703	0.041176
-2.6	703	0.041981
-2.5	703	0.042922
-2.4	703	0.043979
-2.3	703	0.045134
-2.2	703	0.046374
-2.1	703	0.047687
-2	703	0.049066
-1.9	703	0.050503
-1.8	703	0.051992
-1.7	703	0.053529
-1.6	703	0.055109
-1.5	703	0.056731
-1.4	703	0.05839
-1.3	703	0.060084
-1.2	703	0.061812
-1.1	703	0.06357
-1	703	0.065357
-0.9	703	0.06717
-0.8	703	0.069009
-0.7	703	0.070871
-0.6	703	0.072753
-0.5	703	0.074654
-0.4	703	0.076572
-0.3	703	0.078505
-0.2	703	0.080449
-0.1	703	0.082404
0	703	0.084365
0.1	703	0.086332
0.2	703	0.0883
0.3	703	0.090268
0.4	703	0.092232
0.5	703	0.09419
0.6	703	0.096138
0.7	703	0.098075
0.8	703	0.099997
0.9	703	0.101901
1	703	0.103784
1.1	703	0.105644
1.2	703	0.107477
1.3	703	0.109283
1.4	703	0.111057
1.5	703	0.112798
1.6	703	0.114503
1.7	703	0.116172
1.8	703	0.117802
1.9	703	0.119392
2	703	0.120942
		
-3	713	0.032852
-2.9	713	0.033021
-2.8	713	0.033397
-2.7	713	0.033945
-2.6	713	0.034636
-2.5	713	0.035446
-2.4	713	0.036358
-2.3	713	0.037357
-2.2	713	0.038433
-2.1	713	0.039577
-2	713	0.040781
-1.9	713	0.04204
-1.8	713	0.043349
-1.7	713	0.044705
-1.6	713	0.046105
-1.5	713	0.047547
-1.4	713	0.049028
-1.3	713	0.050548
-1.2	713	0.052103
-1.1	713	0.053694
-1	713	0.055319
-0.9	713	0.056976
-0.8	713	0.058665
-0.7	713	0.060384
-0.6	713	0.062132
-0.5	713	0.063908
-0.4	713	0.06571
-0.3	713	0.067537
-0.2	713	0.069386
-0.1	713	0.071258
0	713	0.073149
0.1	713	0.075057
0.2	713	0.076982
0.3	713	0.07892
0.4	713	0.08087
0.5	713	0.082828
0.6	713	0.084793
0.7	713	0.086762
0.8	713	0.088732
0.9	713	0.0907
1	713	0.092664
1.1	713	0.094619
1.2	713	0.096562
1.3	713	0.098491
1.4	713	0.1004
1.5	713	0.102287
1.6	713	0.104146
1.7	713	0.105973
1.8	713	0.107762
1.9	713	0.109508
2	713	0.111205
		
-3	723	0.026864
-2.9	723	0.027006
-2.8	723	0.027323
-2.7	723	0.027785
-2.6	723	0.028369
-2.5	723	0.029055
-2.4	723	0.029829
-2.3	723	0.03068
-2.2	723	0.031597
-2.1	723	0.032574
-2	723	0.033606
-1.9	723	0.034688
-1.8	723	0.035816
-1.7	723	0.036988
-1.6	723	0.038202
-1.5	723	0.039456
-1.4	723	0.040748
-1.3	723	0.042079
-1.2	723	0.043446
-1.1	723	0.044849
-1	723	0.046287
-0.9	723	0.047761
-0.8	723	0.049268
-0.7	723	0.050809
-0.6	723	0.052383
-0.5	723	0.053989
-0.4	723	0.055626
-0.3	723	0.057294
-0.2	723	0.058991
-0.1	723	0.060717
0	723	0.06247
0.1	723	0.064248
0.2	723	0.066052
0.3	723	0.067878
0.4	723	0.069725
0.5	723	0.071591
0.6	723	0.073473
0.7	723	0.075369
0.8	723	0.077277
0.9	723	0.079192
1	723	0.081112
1.1	723	0.083033
1.2	723	0.084948
1.3	723	0.086855
1.4	723	0.088745
1.5	723	0.090613
1.6	723	0.09245
1.7	723	0.094247
1.8	723	0.095992
1.9	723	0.097674
2	723	0.099277
		
-3	733	0.021843
-2.9	733	0.02196
-2.8	733	0.022224
-2.7	733	0.022609
-2.6	733	0.023096
-2.5	733	0.02367
-2.4	733	0.024318
-2.3	733	0.025032
-2.2	733	0.025803
-2.1	733	0.026626
-2	733	0.027497
-1.9	733	0.028411
-1.8	733	0.029368
-1.7	733	0.030363
-1.6	733	0.031397
-1.5	733	0.032468
-1.4	733	0.033574
-1.3	733	0.034716
-1.2	733	0.035892
-1.1	733	0.037104
-1	733	0.038349
-0.9	733	0.039629
-0.8	733	0.040942
-0.7	733	0.042289
-0.6	733	0.043669
-0.5	733	0.045082
-0.4	733	0.046527
-0.3	733	0.048005
-0.2	733	0.049514
-0.1	733	0.051054
0	733	0.052624
0.1	733	0.054222
0.2	733	0.055848
0.3	733	0.057499
0.4	733	0.059175
0.5	733	0.060872
0.6	733	0.062589
0.7	733	0.064321
0.8	733	0.066066
0.9	733	0.067818
1	733	0.069572
1.1	733	0.071323
1.2	733	0.073062
1.3	733	0.07478
1.4	733	0.076467
1.5	733	0.07811
1.6	733	0.079695
1.7	733	0.081204
1.8	733	0.08262
1.9	733	0.08392
2	733	0.085083
		
-3	743	0.017676
-2.9	743	0.017772
-2.8	743	0.017989
-2.7	743	0.018307
-2.6	743	0.018709
-2.5	743	0.019184
-2.4	743	0.019721
-2.3	743	0.020312
-2.2	743	0.020953
-2.1	743	0.021637
-2	743	0.022363
-1.9	743	0.023126
-1.8	743	0.023925
-1.7	743	0.024759
-1.6	743	0.025626
-1.5	743	0.026525
-1.4	743	0.027457
-1.3	743	0.02842
-1.2	743	0.029414
-1.1	743	0.03044
-1	743	0.031497
-0.9	743	0.032585
-0.8	743	0.033704
-0.7	743	0.034855
-0.6	743	0.036036
-0.5	743	0.037247
-0.4	743	0.038489
-0.3	743	0.039761
-0.2	743	0.041062
-0.1	743	0.042391
0	743	0.043747
0.1	743	0.045129
0.2	743	0.046534
0.3	743	0.047962
0.4	743	0.049408
0.5	743	0.050869
0.6	743	0.052341
0.7	743	0.053818
0.8	743	0.055294
0.9	743	0.056761
1	743	0.05821
1.1	743	0.059628
1.2	743	0.061003
1.3	743	0.062318
1.4	743	0.063555
1.5	743	0.064693
1.6	743	0.065711
1.7	743	0.066587
1.8	743	0.067298
1.9	743	0.067828
2	743	0.06817
		
-3	753	0.014246
-2.9	753	0.014325
-2.8	753	0.014502
-2.7	753	0.014762
-2.6	753	0.015091
-2.5	753	0.01548
-2.4	753	0.01592
-2.3	753	0.016405
-2.2	753	0.016931
-2.1	753	0.017494
-2	753	0.018091
-1.9	753	0.01872
-1.8	753	0.01938
-1.7	753	0.020068
-1.6	753	0.020785
-1.5	753	0.021529
-1.4	753	0.022301
-1.3	753	0.0231
-1.2	753	0.023925
-1.1	753	0.024777
-1	753	0.025656
-0.9	753	0.026562
-0.8	753	0.027493
-0.7	753	0.028451
-0.6	753	0.029434
-0.5	753	0.030442
-0.4	753	0.031475
-0.3	753	0.03253
-0.2	753	0.033608
-0.1	753	0.034706
0	753	0.035821
0.1	753	0.036951
0.2	753	0.038093
0.3	753	0.039241
0.4	753	0.04039
0.5	753	0.041533
0.6	753	0.042662
0.7	753	0.043765
0.8	753	0.044831
0.9	753	0.045844
1	753	0.046788
1.1	753	0.047643
1.2	753	0.048388
1.3	753	0.048999
1.4	753	0.049456
1.5	753	0.049738
1.6	753	0.049834
1.7	753	0.049743
1.8	753	0.049481
1.9	753	0.049085
2	753	0.04862
		
-3	763	0.01144
-2.9	763	0.011503
-2.8	763	0.011647
-2.7	763	0.011858
-2.6	763	0.012124
-2.5	763	0.01244
-2.4	763	0.012797
-2.3	763	0.013191
-2.2	763	0.013618
-2.1	763	0.014076
-2	763	0.014561
-1.9	763	0.015072
-1.8	763	0.015608
-1.7	763	0.016168
-1.6	763	0.016751
-1.5	763	0.017356
-1.4	763	0.017983
-1.3	763	0.018631
-1.2	763	0.019301
-1.1	763	0.019991
-1	763	0.020702
-0.9	763	0.021432
-0.8	763	0.022181
-0.7	763	0.022948
-0.6	763	0.023732
-0.5	763	0.024532
-0.4	763	0.025344
-0.3	763	0.026167
-0.2	763	0.026997
-0.1	763	0.02783
0	763	0.028661
0.1	763	0.029483
0.2	763	0.030289
0.3	763	0.03107
0.4	763	0.031812
0.5	763	0.032504
0.6	763	0.033128
0.7	763	0.033666
0.8	763	0.034097
0.9	763	0.0344
1	763	0.034551
1.1	763	0.03453
1.2	763	0.034322
1.3	763	0.03392
1.4	763	0.033335
1.5	763	0.032594
1.6	763	0.031752
1.7	763	0.030891
1.8	763	0.030115
1.9	763	0.029548
2	763	0.029315
		
-3	773	0.00915
-2.9	773	0.009201
-2.8	773	0.009316
-2.7	773	0.009485
-2.6	773	0.009699
-2.5	773	0.009951
-2.4	773	0.010237
-2.3	773	0.010553
-2.2	773	0.010894
-2.1	773	0.01126
-2	773	0.011647
-1.9	773	0.012054
-1.8	773	0.01248
-1.7	773	0.012925
-1.6	773	0.013386
-1.5	773	0.013863
-1.4	773	0.014356
-1.3	773	0.014863
-1.2	773	0.015384
-1.1	773	0.015918
-1	773	0.016462
-0.9	773	0.017017
-0.8	773	0.017578
-0.7	773	0.018145
-0.6	773	0.018713
-0.5	773	0.019279
-0.4	773	0.019838
-0.3	773	0.020384
-0.2	773	0.020909
-0.1	773	0.021405
0	773	0.021861
0.1	773	0.022263
0.2	773	0.022596
0.3	773	0.022843
0.4	773	0.022984
0.5	773	0.022997
0.6	773	0.022859
0.7	773	0.022548
0.8	773	0.022047
0.9	773	0.021347
1	773	0.020449
1.1	773	0.019375
1.2	773	0.018169
1.3	773	0.016903
1.4	773	0.015676
1.5	773	0.014607
1.6	773	0.013826
1.7	773	0.013454
1.8	773	0.013595
1.9	773	0.014314
2	773	0.015634
