1.2,653,0.021845,0.042756
1.3,653,0.023695,0.046293
1.4,653,0.025388,0.049519
1.5,653,0.026879,0.052352
1.6,653,0.028135,0.054729
1.7,653,0.029132,0.056615
1.8,653,0.02986,0.057988
1.9,653,0.030312,0.05884
2,653,0.030489,0.059174
,,,
-3,663,0.79818,0.887765
-2.9,663,0.770994,0.870691
-2.8,663,0.743374,0.852799
-2.7,663,0.715367,0.834069
-2.6,663,0.687013,0.814472
-2.5,663,0.658346,0.793979
-2.4,663,0.629399,0.772553
-2.3,663,0.600201,0.750157
-2.2,663,0.570784,0.726751
-2.1,663,0.541183,0.702296
-2,663,0.511439,0.676758
-1.9,663,0.481601,0.650109
-1.8,663,0.451729,0.622333
-1.7,663,0.421899,0.59343
-1.6,663,0.392198,0.563423
-1.5,663,0.362734,0.532362
-1.4,663,0.33363,0.500334
-1.3,663,0.305028,0.467466
-1.2,663,0.277085,0.433933
-1.1,663,0.24997,0.399961
-1,663,0.223862,0.365829
-0.9,663,0.198945,0.331867
-0.8,663,0.175398,0.298449
-0.7,663,0.15339,0.265981
-0.6,663,0.133071,0.234885
-0.5,663,0.114564,0.205577
-0.4,663,0.097962,0.178443
-0.3,663,0.083316,0.153816
-0.2,663,0.070637,0.131953
-0.1,663,0.059894,0.113019
0,663,0.051014,0.097076
0.1,663,0.043888,0.084085
0.2,663,0.038374,0.073911
0.3,663,0.034306,0.066337
0.4,663,0.031504,0.061083
0.5,663,0.029776,0.05783
0.6,663,0.028932,0.056237
0.7,663,0.028787,0.055963
0.8,663,0.029167,0.056681
0.9,663,0.029914,0.05809
1,663,0.030887,0.059922
1.1,663,0.031964,0.061948
1.2,663,0.033045,0.063975
1.3,663,0.034044,0.065847
1.4,663,0.034897,0.067441
1.5,663,0.035552,0.068663
1.6,663,0.035971,0.069445
1.7,663,0.036129,0.069738
1.8,663,0.036007,0.06951
1.9,663,0.035594,0.068741
2,663,0.034885,0.067418
,,,
-3,673,0.8433,0.914989
-2.9,673,0.817662,0.899685
-2.8,673,0.791296,0.88349
-2.7,673,0.764248,0.866373
-2.6,673,0.736564,0.848301
-2.5,673,0.70829,0.829239
-2.4,673,0.679472,0.80915
-2.3,673,0.650159,0.787996
-2.2,673,0.620404,0.76574
-2.1,673,0.590263,0.742346
-2,673,0.559801,0.717785
-1.9,673,0.52909,0.692032
-1.8,673,0.498214,0.665077
-1.7,673,0.46727,0.636924
-1.6,673,0.436366,0.607597
-1.5,673,0.405628,0.577148
-1.4,673,0.375197,0.545663
-1.3,673,0.345229,0.513265
-1.2,673,0.315896,0.480123
-1.1,673,0.287378,0.446454
-1,673,0.259865,0.412528
-0.9,673,0.233548,0.37866
-0.8,673,0.208613,0.345211
-0.7,673,0.185235,0.312571
-0.6,673,0.163568,0.28115
