Variables = LogStrainRate, Temperature, Xi
Zone I = 51 J = 21 F = POINT	
-2.3	693	0.275733
-2.2	693	0.261311
-2.1	693	0.248981
-2	693	0.238365
-1.9	693	0.229059
-1.8	693	0.220656
-1.7	693	0.212775
-1.6	693	0.205083
-1.5	693	0.197303
-1.4	693	0.189226
-1.3	693	0.180702
-1.2	693	0.171643
-1.1	693	0.162007
-1	693	0.151791
-0.9	693	0.141024
-0.8	693	0.129749
-0.7	693	0.118025
-0.6	693	0.105912
-0.5	693	0.093473
-0.4	693	0.080762
-0.3	693	0.067829
-0.2	693	0.054712
-0.1	693	0.041438
0	693	0.02802
0.1	693	0.014458
0.2	693	0.000734
0.3	693	-0.013187
0.4	693	-0.02736
0.5	693	-0.041862
0.6	693	-0.056798
0.7	693	-0.072305
0.8	693	-0.088556
0.9	693	-0.105775
1	693	-0.124244
1.1	693	-0.144324
1.2	693	-0.166481
1.3	693	-0.191322
1.4	693	-0.219652
1.5	693	-0.252562
1.6	693	-0.291574
1.7	693	-0.338882
1.8	693	-0.397792
1.9	693	-0.473576
2	693	-0.575295
		
-3	703	0.51333
-2.9	703	0.481025
-2.8	703	0.4506
-2.7	703	0.422335
-2.6	703	0.396428
-2.5	703	0.372983
-2.4	703	0.352002
-2.3	703	0.333383
-2.2	703	0.316932
-2.1	703	0.302381
-2	703	0.289407
-1.9	703	0.277658
-1.8	703	0.266784
-1.7	703	0.256452
-1.6	703	0.246366
-1.5	703	0.236281
-1.4	703	0.226004
-1.3	703	0.215394
-1.2	703	0.204362
-1.1	703	0.192858
-1	703	0.180867
-0.9	703	0.168398
-0.8	703	0.155478
-0.7	703	0.142141
-0.6	703	0.128428
-0.5	703	0.114376
-0.4	703	0.100014
-0.3	703	0.085367
-0.2	703	0.070442
-0.1	703	0.055234
0	703	0.039721
0.1	703	0.023857
0.2	703	0.007577
0.3	703	-0.009216
0.4	703	-0.026649
0.5	703	-0.044891
0.6	703	-0.064156
0.7	703	-0.084722
0.8	703	-0.106943
0.9	703	-0.131277
1	703	-0.158319
1.1	703	-0.188855
1.2	703	-0.223946
1.3	703	-0.26506
1.4	703	-0.314302
1.5	703	-0.374809
1.6	703	-0.451539
1.7	703	-0.552898
1.8	703	-0.694687
1.9	703	-0.911596
2	703	-1.304282
		
-3	713	0.571575
-2.9	713	0.539557
-2.8	713	0.509171
-2.7	713	0.480684
-2.6	713	0.454287
-2.5	713	0.430083
-2.4	713	0.40808
-2.3	713	0.388191
-2.2	713	0.370248
-2.1	713	0.354014
-2	713	0.339204
-1.9	713	0.325508
-1.8	713	0.312615
-1.7	713	0.300228
-1.6	713	0.288082
-1.5	713	0.275956
-1.4	713	0.263669
-1.3	713	0.25109
-1.2	713	0.238128
-1.1	713	0.224726
-1	713	0.210858
-0.9	713	0.196515
-0.8	713	0.181704
-0.7	713	0.166437
-0.6	713	0.150727
-0.5	713	0.13458
-0.4	713	0.117995
-0.3	713	0.100955
-0.2	713	0.083425
-0.1	713	0.065349
0	713	0.046641
0.1	713	0.027185
0.2	713	0.006827
0.3	713	-0.014637
0.4	713	-0.03747
0.5	713	-0.062007
0.6	713	-0.088684
0.7	713	-0.118062
0.8	713	-0.150878
0.9	713	-0.18812
1	713	-0.231136
1.1	713	-0.281834
1.2	713	-0.343012
1.3	713	-0.419002
1.4	713	-0.516972
1.5	713	-0.649926
1.6	713	-0.844921
1.7	713	-1.172818
1.8	713	-1.948135
1.9	713	-2.055656
2	713	-0.733381
		
-3	723	0.624967
-2.9	723	0.593595
-2.8	723	0.563621
-2.7	723	0.535299
-2.6	723	0.50881
-2.5	723	0.484252
-2.4	723	0.461633
-2.3	723	0.440878
-2.2	723	0.421837
-2.1	723	0.404296
-2	723	0.388001
-1.9	723	0.372673
-1.8	723	0.358031
-1.7	723	0.343808
-1.6	723	0.329763
-1.5	723	0.31569
-1.4	723	0.301422
-1.3	723	0.286827
-1.2	723	0.271813
-1.1	723	0.256312
-1	723	0.24028
-0.9	723	0.223689
-0.8	723	0.206519
-0.7	723	0.18875
-0.6	723	0.170357
-0.5	723	0.151304
-0.4	723	0.131539
-0.3	723	0.110987
-0.2	723	0.089542
-0.1	723	0.067067
0	723	0.043378
0.1	723	0.01824
0.2	723	-0.008652
0.3	723	-0.037686
0.4	723	-0.06936
0.5	723	-0.104321
0.6	723	-0.14342
0.7	723	-0.187797
0.8	723	-0.239027
0.9	723	-0.299356
1	723	-0.372144
1.1	723	-0.462711
1.2	723	-0.580165
1.3	723	-0.741889
1.4	723	-0.987103
1.5	723	-1.436302
1.6	723	-3.138112
1.7	723	-1.388956
1.8	723	-0.439973
1.9	723	0.305327
2	723	1.216205
		
-3	733	0.673988
-2.9	733	0.643601
-2.8	733	0.614375
-2.7	733	0.586549
-2.6	733	0.56029
-2.5	733	0.535689
-2.4	733	0.512755
-2.3	733	0.49142
-2.2	733	0.471544
-2.1	733	0.452934
-2	733	0.435356
-1.9	733	0.418556
-1.8	733	0.402277
-1.7	733	0.386271
-1.6	733	0.370314
-1.5	733	0.354209
-1.4	733	0.337792
-1.3	733	0.320929
-1.2	733	0.303514
-1.1	733	0.285464
-1	733	0.26671
-0.9	733	0.247192
-0.8	733	0.226853
-0.7	733	0.205628
-0.6	733	0.18344
-0.5	733	0.160195
-0.4	733	0.13577
-0.3	733	0.110008
-0.2	733	0.082711
-0.1	733	0.05363
0	733	0.022447
0.1	733	-0.011235
0.2	733	-0.047918
0.3	733	-0.088246
0.4	733	-0.133052
0.5	733	-0.18344
0.6	733	-0.240913
0.7	733	-0.30759
0.8	733	-0.386604
0.9	733	-0.482861
1	733	-0.604642
1.1	733	-0.76746
1.2	733	-1.005265
1.3	733	-1.41589
1.4	733	-2.604
1.5	733	-1.700499
1.6	733	-0.668343
1.7	733	0.073146
1.8	733	0.918013
1.9	733	3.479717
2	733	1.373514
		
-3	743	0.718649
-2.9	743	0.689512
-2.8	743	0.661286
-2.7	743	0.634192
-2.6	743	0.608383
-2.5	743	0.583942
-2.4	743	0.560874
-2.3	743	0.53911
-2.2	743	0.518521
-2.1	743	0.498924
-2	743	0.480099
-1.9	743	0.461808
-1.8	743	0.443807
-1.7	743	0.425861
-1.6	743	0.407751
-1.5	743	0.389282
-1.4	743	0.370284
-1.3	743	0.350611
-1.2	743	0.330138
-1.1	743	0.308755
-1	743	0.286364
-0.9	743	0.262867
-0.8	743	0.238163
-0.7	743	0.212143
-0.6	743	0.184677
-0.5	743	0.155618
-0.4	743	0.124784
-0.3	743	0.091961
-0.2	743	0.056893
-0.1	743	0.019272
0	743	-0.021274
0.1	743	-0.065191
0.2	743	-0.113025
0.3	743	-0.165453
0.4	743	-0.223333
0.5	743	-0.287785
0.6	743	-0.360324
0.7	743	-0.443091
0.8	743	-0.539276
0.9	743	-0.653944
1	743	-0.795799
1.1	743	-0.981497
1.2	743	-1.24853
1.3	743	-1.71045
1.4	743	-3.250654
1.5	743	-1.797923
1.6	743	-0.853068
1.7	743	-0.132863
1.8	743	0.734871
1.9	743	3.89511
2	743	0.932375
		
-3	753	0.75841
-2.9	753	0.730672
-2.8	753	0.703575
-2.7	753	0.67732
-2.6	753	0.652044
-2.5	753	0.627814
-2.4	753	0.604626
-2.3	753	0.582411
-2.2	753	0.561036
-2.1	753	0.540324
-2	753	0.520062
-1.9	753	0.500018
-1.8	753	0.479954
-1.7	753	0.459638
-1.6	753	0.438851
-1.5	753	0.417395
-1.4	753	0.395093
-1.3	753	0.371786
-1.2	753	0.347338
-1.1	753	0.321625
-1	753	0.294537
-0.9	753	0.26597
-0.8	753	0.235826
-0.7	753	0.204008
-0.6	753	0.170425
-0.5	753	0.134987
-0.4	753	0.097613
-0.3	753	0.058235
-0.2	753	0.016806
-0.1	753	-0.026686
0	753	-0.072204
0.1	753	-0.119641
0.2	753	-0.168789
0.3	753	-0.219312
0.4	753	-0.270692
0.5	753	-0.322177
0.6	753	-0.372713
0.7	753	-0.420853
0.8	753	-0.464679
0.9	753	-0.501725
1	753	-0.528973
1.1	753	-0.542976
1.2	753	-0.540215
1.3	753	-0.517754
1.4	753	-0.474144
1.5	753	-0.41034
1.6	753	-0.33021
1.7	753	-0.24028
1.8	753	-0.148634
1.9	753	-0.063277
2	753	0.009442
		
-3	763	0.792035
-2.9	763	0.765673
-2.8	763	0.739655
-2.7	763	0.714154
-2.6	763	0.689286
-2.5	763	0.665101
-2.4	763	0.641582
-2.3	763	0.618648
-2.2	763	0.596166
-2.1	763	0.573958
-2	763	0.551813
-1.9	763	0.529508
-1.8	763	0.506813
-1.7	763	0.483508
-1.6	763	0.45939
-1.5	763	0.434278
-1.4	763	0.408022
-1.3	763	0.3805
-1.2	763	0.351627
-1.1	763	0.32135
-1	763	0.289656
-0.9	763	0.256574
-0.8	763	0.222178
-0.7	763	0.186599
-0.6	763	0.150032
-0.5	763	0.112744
-0.4	763	0.075092
-0.3	763	0.037529
-0.2	763	0.000616
-0.1	763	-0.034978
0	763	-0.068475
0.1	763	-0.09901
0.2	763	-0.125669
0.3	763	-0.147538
0.4	763	-0.16379
0.5	763	-0.173776
0.6	763	-0.177135
0.7	763	-0.173879
0.8	763	-0.164459
